cat=0 name=Default onfoot=0 slow=0 fast=0 defaultstream=0
"csher2" camnorm=1 alphamode=2 height=256 width=128 img=b49ef462
"DSHER2" camnorm=1 alphamode=2 height=256 width=128 img=fa2229a1
"FemaleCopSkin1" camnorm=1 alphamode=2 height=256 width=128 img=dd50c771
"FemaleCopSkin2" camnorm=1 alphamode=2 height=256 width=128 img=eeecfeab
"FemaleEmt1_work1f" camnorm=1 alphamode=2 height=256 width=128 img=ef8eca44
"lapd1" camnorm=1 alphamode=2 height=256 width=128 img=c14467c2
"lapdpc" camnorm=1 alphamode=2 height=256 width=128 img=ebb76584
"lapdpd" camnorm=1 alphamode=2 height=256 width=128 img=fc42cf74
"lvpd1" camnorm=1 alphamode=2 height=256 width=128 img=89b05983
"lvpd1a_st2g" camnorm=1 alphamode=2 height=256 width=128 img=289fd1c9
"sfpd1" camnorm=1 alphamode=2 height=256 width=128 img=b61ccd14
"wfyclpd" camnorm=1 alphamode=2 height=256 width=128 img=8db07688
"mylogo" camnorm=1 alphamode=2 height=256 width=1024 img=633225a8 mipmode=0
"metalic128" camnorm=1 alphamode=2 height=128 width=128 img=823ad854
"711_walltemp" camnorm=1 alphamode=2 height=256 width=256 img=8bda3c4b
"a51_map" camnorm=1 alphamode=2 height=256 width=256 img=1dcce02e
"a51_metal1" camnorm=1 alphamode=2 height=256 width=256 img=e67c016f
"a51_panels1" camnorm=1 alphamode=2 height=128 width=128 img=b15c4633
"Aascaff128" camnorm=1 alphamode=2 height=128 width=128 img=f9547cc2
"ab_carpethexi" camnorm=1 alphamode=2 height=256 width=256 img=6c44d999
"ab_clubloungewall" camnorm=1 alphamode=2 height=256 width=256 img=d507046c
"ab_corwallupr" camnorm=1 alphamode=2 height=256 width=256 img=b5335620
"ab_sheetSteel" camnorm=1 alphamode=2 height=128 width=128 img=9a948b46
"ab_tileDiamond" camnorm=1 alphamode=2 height=256 width=256 img=84fba2b1
"ah_utilbor1" camnorm=1 alphamode=2 height=128 width=128 img=4f5e4c45
"airvent_gz" camnorm=1 alphamode=2 height=64 width=64 img=0f29b233
"AlienLiquid1" camnorm=1 alphamode=2 height=128 width=128 img=4154a724
"alleygroundb256" camnorm=1 alphamode=2 height=64 width=128 img=2a2ebb5d
"Alumox64" camnorm=1 alphamode=2 height=64 width=64 img=30b104cd
"Alumox64b" camnorm=1 alphamode=2 height=64 width=64 img=0281c039
"Apple1" camnorm=1 alphamode=2 height=128 width=128 img=7fc256cc
"Apple2" camnorm=1 alphamode=2 height=128 width=128 img=0ea9beb4
"ApplesGreen1" camnorm=1 alphamode=2 height=128 width=128 img=1de5626d
"ApplesRed1" camnorm=1 alphamode=2 height=128 width=128 img=9851c859
"armyhelmet1" camnorm=1 alphamode=2 height=64 width=64 img=2ba22408
